lambda,mu,MSE
1e-06,1e-05,0.3052333881508839
1e-06,5e-05,0.3052630093678137
1e-06,0.0001,0.3053139725450407
1e-06,0.0005,0.30590519688894546
1e-06,0.001,0.3066239910242391
1e-06,0.01,0.3169500996117016
1e-06,0.1,0.4406626969404111
1e-06,0.5,171.4644629807231
1e-06,5.0,
1e-06,10.0,
5e-06,1e-05,0.30523325507035687
5e-06,5e-05,0.3052621984712333
5e-06,0.0001,0.30531210882158955
5e-06,0.0005,0.30589478062828857
5e-06,0.001,0.3066034311886913
5e-06,0.01,0.3167357698022759
5e-06,0.1,0.43746859984745623
5e-06,0.5,103.25940150279274
5e-06,5.0,
5e-06,10.0,
1e-05,1e-05,0.3052330978667752
1e-05,5e-05,0.3052612381325066
1e-05,0.0001,0.3053098960228296
1e-05,0.0005,0.3058823965009579
1e-05,0.001,0.3065793339295328
1e-05,0.01,0.3164828625183467
1e-05,0.1,0.4337538521764749
1e-05,0.5,61.53551388649402
1e-05,5.0,
1e-05,10.0,
0.0005,1e-05,0.3052291644484447
0.0005,5e-05,0.3052362645796629
0.0005,0.0001,0.30524972839090325
0.0005,0.0005,0.30547474414894116
0.0005,0.001,0.3058606113046935
0.0005,0.01,0.30975859297167335
0.0005,0.1,0.3507254407223568
0.0005,0.5,0.866383914404114
0.0005,1.0,2.941163913897564
0.0005,5.0,
0.0005,10.0,
0.001,1e-05,0.3052285923764684
0.001,5e-05,0.3052323815196528
0.001,0.0001,0.3052396822356577
0.001,0.0005,0.30537371462055435
0.001,0.001,0.30563969308625744
0.001,0.01,0.3085700690989216
0.001,0.1,0.33570478719194
0.001,0.5,0.5993235502361466
0.001,1.0,9.699580035985743
0.001,5.0,
0.001,10.0,
0.005,1e-05,0.30522821310469017
0.005,5e-05,0.3052294678968732
0.005,0.0001,0.3052314671291911
0.005,0.0005,0.30526285146664084
0.005,0.001,0.3053327838775204
0.005,0.01,0.30714359495792276
0.005,0.1,0.31463112901241513
0.005,0.5,0.37061221247563086
0.005,1.0,187823.94359175867
0.005,5.0,
0.005,10.0,
0.1,1e-05,0.3052281047787167
0.1,5e-05,0.3052287355528537
0.1,0.0001,0.3052295356786615
0.1,0.0005,0.3052363966050637
0.1,0.001,0.3052460919770843
0.1,0.01,0.3055809754339113
0.1,0.1,0.3088189778369105
0.1,0.5,0.3100572090501334
0.1,1.0,0.31623662353245635
0.1,5.0,1075298625351.0931
0.1,10.0,2.4278849261616444
0.5,1e-05,0.30522799713294296
0.5,5e-05,0.3052281926704657
0.5,0.0001,0.3052284383121295
0.5,0.0005,0.30523045206223104
0.5,0.001,0.305233089953524
0.5,0.01,0.3053019083764174
0.5,0.1,0.3070509951298169
0.5,0.5,0.31038758350782963
0.5,1.0,0.30981213706979754
0.5,5.0,0.6400672576189983
0.5,10.0,11884.167543917558
1.0,1e-05,0.30522796675719366
1.0,5e-05,0.3052280404898305
1.0,0.0001,0.3052281331968112
1.0,0.0005,0.3052288964582149
1.0,0.001,0.30522990434654523
1.0,0.01,0.30525787822152367
1.0,0.1,0.30622696337886046
1.0,0.5,0.3110244586132112
1.0,1.0,0.311492320920527
1.0,5.0,0.319582875918621
1.0,10.0,3.410521643875203
5.0,1e-05,0.3052279302289574
5.0,5e-05,0.30522785770232913
5.0,0.0001,0.30522776725620443
5.0,0.0005,0.3052270521700548
5.0,0.001,0.30522617950215686
5.0,0.01,0.30521446337805447
5.0,0.1,0.305479078545877
5.0,0.5,0.31202012211245383
5.0,1.0,0.3237358591483863
5.0,5.0,0.3312103231243514
5.0,10.0,0.32124317526396007
10.0,1e-05,0.30522792410779337
10.0,5e-05,0.30522782708930757
10.0,0.0001,0.30522770601216714
10.0,0.0005,0.3052267452320376
10.0,0.001,0.30522556384124255
10.0,0.01,0.3052080037977296
10.0,0.1,0.3054020755694305
10.0,0.5,0.3127747440051778
10.0,1.0,0.3310442975223904
10.0,5.0,0.43088280343812974
10.0,10.0,0.38852719028827953
20.0,1e-05,0.3052279208374465
20.0,5e-05,0.30522781073585104
20.0,0.0001,0.3052276733009528
20.0,0.0005,0.3052265815047832
20.0,0.001,0.3052252359631012
20.0,0.01,0.3052046569524502
20.0,0.1,0.30537005603050227
20.0,0.5,0.31341349793417594
20.0,1.0,0.33675943232558264
20.0,5.0,0.6534157594508736
20.0,10.0,0.7961714091516429
50.0,1e-05,0.30522791879937317
50.0,5e-05,0.3052278005452028
50.0,0.0001,0.30522765291895465
50.0,0.0005,0.30522647956722737
50.0,0.001,0.3052250320216072
50.0,0.01,0.3052026103882734
50.0,0.1,0.305353799420411
50.0,0.5,0.313926186700247
50.0,1.0,0.3412229952826919
50.0,5.0,0.9756789314103367
50.0,10.0,2.0496764635410125
